"OPERATEUR";"CODE_EIC";"ANNEE";"FILIERE";"IRIS_CODE";"IRIS_LIBELLE";"ADRESSE";"NOM_COMMUNE";"CODE_GRAND_SECTEUR";"CONSO";"PDL"
"Enedis";"17X100A100A0001A";"2020";"E";"330631301";"Gare Saint-Jean 1";"RUE BECK";"BORDEAUX";"T";2689.40033;1
"Enedis";"17X100A100A0001A";"2020";"E";"330631002";"Saint-Bruno-Saint-Victor 2";"RUE FRANCOIS DE SOURDIS";"BORDEAUX";"T";2686.62317;1
"Enedis";"17X100A100A0001A";"2020";"E";"452341104";"Châteaudun-Dunois";"RUE DU PARC";"ORLÉANS";"T";2627.19167;1
"Enedis";"17X100A100A0001A";"2020";"E";"352380307";"Champeaux";"ALLEE ERMENGARDE D ANJOU";"RENNES";"T";2620.33283;1
"Enedis";"17X100A100A0001A";"2020";"E";"831370610";"Sainte-Catherine";"AVENUE GEORGES BIZET";"TOULON";"T";2586.63354;2
"Enedis";"17X100A100A0001A";"2020";"E";"330630201";"Bacalan 1";"CHEMIN DE LABARDE";"BORDEAUX";"T";2582.849;1
"Enedis";"17X100A100A0001A";"2020";"E";"920730108";"Bas de Suresnes 2";"RUE DES NOUVELLES";"SURESNES";"T";2550.22533;1
"Enedis";"17X100A100A0001A";"2020";"E";"920730101";"Bas de Suresnes 1";"13 RUE PAGES";"SURESNES";"T";2529.35028;15
"Enedis";"17X100A100A0001A";"2020";"E";"330630201";"Bacalan 1";"BOULEVARD ALFRED DANEY";"BORDEAUX";"T";2511.69817;8
"Enedis";"17X100A100A0001A";"2020";"E";"330631304";"Gare Saint-Jean 4";"QUAI DE PALUDATE";"BORDEAUX";"T";2507.44372;16
"Enedis";"17X100A100A0001A";"2020";"E";"330631302";"Gare Saint-Jean 2";"RUE D ARMAGNAC";"BORDEAUX";"I";2488.39964;4
"Enedis";"17X100A100A0001A";"2020";"E";"330631005";"Saint-Bruno-Saint-Victor 5";"RUE DU CORPS FRANC POMMIES";"BORDEAUX";"T";2483.75029;3
"Enedis";"17X100A100A0001A";"2020";"E";"452340802";"Bourgogne-Saint-Vincent";"129 FAUBOURG ST VINCENT F7H001";"ORLÉANS";"T";2459.03;1
"Enedis";"17X100A100A0001A";"2020";"E";"330630705";"Villa Primerose Parc Bordelais-Caudéran 5";"138 AVENUE DE LA REPUBLIQUE";"BORDEAUX";"T";2391.4735;1
"Enedis";"17X100A100A0001A";"2020";"E";"352380107";"Dalle du Colombier";"40 PLACE DU COLOMBIER";"RENNES";"T";2372.98782;6
"Enedis";"17X100A100A0001A";"2020";"E";"330630504";"Hôtel de Ville-Quinconces 4";"50 RUE SAINTE CATHERINE";"BORDEAUX";"T";2355.44308;4
"Enedis";"17X100A100A0001A";"2020";"E";"352380207";"Saint-Hélier";"PLACE DE LA GARE";"RENNES";"T";2348.1833;8
"Enedis";"17X100A100A0001A";"2020";"E";"352380402";"Cimetière du Nord";"RUE SAINT MALO";"RENNES";"T";2324.19792;4
"Enedis";"17X100A100A0001A";"2020";"E";"831370608";"Dutasta-Mayol";"CENTRE COMMERCIAL MAYOL";"TOULON";"T";2298.15182;6
"Enedis";"17X100A100A0001A";"2020";"E";"330630313";"Chartrons-Grand Parc 13";"155 COURS SAINT LOUIS";"BORDEAUX";"T";2292.47467;1
"Enedis";"17X100A100A0001A";"2020";"E";"452340801";"Bourgogne-Pasteur";"10 RUE EUGENE VIGNAT";"ORLÉANS";"T";2282.976;1
"Enedis";"17X100A100A0001A";"2020";"E";"352380308";"Z.A. Ouest";"RUE DU LIEUTENANT COLONEL DUBOIS";"RENNES";"T";2269.9735;4
"Enedis";"17X100A100A0001A";"2020";"E";"831370803";"Saint-Jean du Var II";"AVENUE AMIRAL DAVELUY BRIANCOURT";"TOULON";"T";2236.06259;2
"Enedis";"17X100A100A0001A";"2020";"E";"330630503";"Hôtel de Ville-Quinconces 3";"PLACE J ET JEAN FRANCOIS LEMOINE";"BORDEAUX";"T";2236.01998;22
"Enedis";"17X100A100A0001A";"2020";"E";"330630201";"Bacalan 1";"RUE BOUGAINVILLE";"BORDEAUX";"T";2191.22987;2
"Enedis";"17X100A100A0001A";"2020";"E";"330630101";"Le Lac 1";;"BORDEAUX";"T";2172.35762;11
"Enedis";"17X100A100A0001A";"2020";"E";"352381001";"Pontchaillou";"7 RUE JEAN LOUIS BERTRAND";"RENNES";"T";2170.81928;2
"Enedis";"17X100A100A0001A";"2020";"E";"452341103";"Bannier-Coligny";"131 FAUBOURG BANNIER";"ORLÉANS";"T";2146.68767;1
"Enedis";"17X100A100A0001A";"2020";"E";"352380307";"Champeaux";"65 RUE DE SAINT BRIEUC";"RENNES";"T";2134.9895;2
"Enedis";"17X100A100A0001A";"2020";"E";"330630706";"Villa Primerose Parc Bordelais-Caudéran 6";"172 RUE JULES FERRY";"BORDEAUX";"T";2127.62917;1
"Enedis";"17X100A100A0001A";"2020";"E";"352381205";"Les Olympiades";"12 BOULEVARD ALBERT 1ER";"RENNES";"T";2084.26217;1
"Enedis";"17X100A100A0001A";"2020";"E";"352381007";"Beauregard";"1 AVENUE DE LA PREFECTURE";"RENNES";"T";2082.27917;1
"Enedis";"17X100A100A0001A";"2020";"E";"330630507";"Hôtel de Ville-Quinconces 7";"2 PLACE DE LA COMEDIE";"BORDEAUX";"T";2076.10217;1
"Enedis";"17X100A100A0001A";"2020";"E";"920730102";"Carnot Gambetta 1";"37 RUE DE VERDUN";"SURESNES";"T";2072.45633;1
"Enedis";"17X100A100A0001A";"2020";"E";"330630101";"Le Lac 1";"AVENUE JEAN GABRIEL DOMERGUE";"BORDEAUX";"T";2057.22274;3
"Enedis";"17X100A100A0001A";"2020";"E";"352380904";"Cleunay Ouest";"RUE JULES VALLES";"RENNES";"T";2046.85057;8
"Enedis";"17X100A100A0001A";"2020";"E";"352380602";"Michelet";"1 BOULEVARD DE STRASBOURG";"RENNES";"T";2033.2235;1
"Enedis";"17X100A100A0001A";"2020";"E";"330630201";"Bacalan 1";;"BORDEAUX";"T";2032.07447;10
"Enedis";"17X100A100A0001A";"2020";"E";"330630501";"Hôtel de Ville-Quinconces 1";;"BORDEAUX";"T";2031.65767;1
"Enedis";"17X100A100A0001A";"2020";"E";"330630401";"La Bastide 1";"162 QUAI DE BRAZZA";"BORDEAUX";"I";2031.63567;2
"Enedis";"17X100A100A0001A";"2020";"E";"831370612";"La Rode";"ZONE A URBAN DE LA RODE";"TOULON";"T";1984.87142;3
"Enedis";"17X100A100A0001A";"2020";"E";"352381001";"Pontchaillou";"6 AVENUE GASTON BERGER";"RENNES";"T";1976.49267;1
"Enedis";"17X100A100A0001A";"2020";"E";"330630101";"Le Lac 1";"RUE JEAN SAMAZEUILH";"BORDEAUX";"T";1963.111;3
"Enedis";"17X100A100A0001A";"2020";"E";"452340201";"Martroi-Cathédrale";"PLACE DE L ETAPE";"ORLÉANS";"T";1903.77183;2
"Enedis";"17X100A100A0001A";"2020";"E";"831370201";"Pont Neuf";"AVENUE ARISTIDE BRIAND";"TOULON";"T";1897.80008;6
"Enedis";"17X100A100A0001A";"2020";"E";"330630905";"Saint-Augustin 5";"IMPASSE FAYE";"BORDEAUX";"T";1862.65483;1
"Enedis";"17X100A100A0001A";"2020";"E";"330631003";"Saint-Bruno-Saint-Victor 3";"RUE FRANCOIS DE SOURDIS";"BORDEAUX";"T";1852.9275;1
"Enedis";"17X100A100A0001A";"2020";"E";"330630401";"La Bastide 1";"RUE JEAN PAUL ALAUX";"BORDEAUX";"T";1831.05333;1
"Enedis";"17X100A100A0001A";"2020";"E";"352381007";"Beauregard";"RUE ANDRE ET YVONNE MEYNIER";"RENNES";"T";1822.21828;11
"Enedis";"17X100A100A0001A";"2020";"E";"352380510";"Les Gayeulles";"4 RUE DU PATIS TATELIN";"RENNES";"T";1817.35683;1
"Enedis";"17X100A100A0001A";"2020";"E";"352380606";"Le Bois Perrin";"60 BOULEVARD DE VITRE";"RENNES";"T";1782.1185;1
"Enedis";"17X100A100A0001A";"2020";"E";"920730103";"République 2";"7 RUE PASTEUR";"SURESNES";"T";1726.04;1
"Enedis";"17X100A100A0001A";"2020";"E";"330630201";"Bacalan 1";"AVENUE DE TOURVILLE";"BORDEAUX";"T";1717.46319;5
"Enedis";"17X100A100A0001A";"2020";"E";"330630301";"Chartrons-Grand Parc 1";"RUE LUCIEN FAURE";"BORDEAUX";"T";1686.92239;15
"Enedis";"17X100A100A0001A";"2020";"E";"330631006";"Saint-Bruno-Saint-Victor 6";"112 BOULEVARD MARECHAL LECLERC";"BORDEAUX";"T";1678.187;1
"Enedis";"17X100A100A0001A";"2020";"E";"352381101";"Le Landrel Ouest";"AVENUE DES PAYS BAS";"RENNES";"I";1663.70721;2
"Enedis";"17X100A100A0001A";"2020";"E";"330630501";"Hôtel de Ville-Quinconces 1";"RUE PAUL BERT";"BORDEAUX";"T";1659.4885;1
"Enedis";"17X100A100A0001A";"2020";"E";"920730114";"République 1";"6 RUE CHEVREUL";"SURESNES";"T";1642.72;1
"Enedis";"17X100A100A0001A";"2020";"E";"452342103";"Universités";"RUE DE LA TOUR";"ORLÉANS";"T";1633.31457;3
"Enedis";"17X100A100A0001A";"2020";"E";"330630903";"Saint-Augustin 3";"BOULEVARD MARECHAL LECLERC";"BORDEAUX";"T";1609.77683;1
"Enedis";"17X100A100A0001A";"2020";"E";"330630301";"Chartrons-Grand Parc 1";"RUE LUCIEN FAURE";"BORDEAUX";"I";1607.54918;14
"Enedis";"17X100A100A0001A";"2020";"E";"330630603";"Saint-Seurin-Fondaudège 3";"220 RUE MANDRON";"BORDEAUX";"T";1594.46478;2
"Enedis";"17X100A100A0001A";"2020";"E";"452342103";"Universités";"RUE D ISSOUDUN";"ORLÉANS";"T";1590.10653;3
"Enedis";"17X100A100A0001A";"2020";"E";"352381203";"Canada";"RUE DES LORIETTES";"RENNES";"T";1562.30975;14
"Enedis";"17X100A100A0001A";"2020";"E";"452341104";"Châteaudun-Dunois";"75 RUE DU PARC";"ORLÉANS";"T";1557.1065;1
"Enedis";"17X100A100A0001A";"2020";"E";"352381201";"Les Hautes Chalais";"9 RUE DU GENERAL NICOLET";"RENNES";"T";1551.6235;1
"Enedis";"17X100A100A0001A";"2020";"E";"330630808";"Lestonnat-Monséjour 8";"20 AVENUE DE LA GARE";"BORDEAUX";"T";1549.53417;1
"Enedis";"17X100A100A0001A";"2020";"E";"352380308";"Z.A. Ouest";"34 RUE MANOIR DE SERVIGNE";"RENNES";"T";1545.369;1
"Enedis";"17X100A100A0001A";"2020";"E";"920730103";"République 2";"RUE MARCEL MONGE";"SURESNES";"I";1539.43142;6
"Enedis";"17X100A100A0001A";"2020";"E";"452342103";"Universités";;"ORLÉANS";"T";1539.25075;3
"Enedis";"17X100A100A0001A";"2020";"E";"330630103";"Le Lac 3";;"BORDEAUX";"T";1539.1998;6
"Enedis";"17X100A100A0001A";"2020";"E";"920730102";"Carnot Gambetta 1";"51 RUE CARNOT";"SURESNES";"T";1532.64058;1
"Enedis";"17X100A100A0001A";"2020";"E";"352381203";"Canada";"RUE DU BOSPHORE";"RENNES";"T";1529.82888;16
"Enedis";"17X100A100A0001A";"2020";"E";"330631002";"Saint-Bruno-Saint-Victor 2";"RUE CLAUDE BONNIER";"BORDEAUX";"I";1510.25717;1
"Enedis";"17X100A100A0001A";"2020";"E";"330630507";"Hôtel de Ville-Quinconces 7";"PLACE DES GRANDS HOMMES";"BORDEAUX";"T";1500.33215;3
"Enedis";"17X100A100A0001A";"2020";"E";"330630604";"Saint-Seurin-Fondaudège 4";"91 RUE PAULIN";"BORDEAUX";"T";1499.51417;1
"Enedis";"17X100A100A0001A";"2020";"E";"352380704";"Z.A. Sud Est";"RUE DES VEYETTES";"RENNES";"T";1498.01733;1
"Enedis";"17X100A100A0001A";"2020";"E";"330630101";"Le Lac 1";"RUE DU GRAND BARAIL";"BORDEAUX";"T";1478.24419;4
"Enedis";"17X100A100A0001A";"2020";"E";"330630401";"La Bastide 1";"190 QUAI DE BRAZZA";"BORDEAUX";"I";1476.75567;1
"Enedis";"17X100A100A0001A";"2020";"E";"330631005";"Saint-Bruno-Saint-Victor 5";"COURS MARECHAL JUIN";"BORDEAUX";"T";1473.74657;3
